// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B4A7C9
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
43822										1.991218	-9.202677	2.311601	-0.003273	-0.002542	-0.002991	-0.298496	0.146183	-0.182528	0.721264	0.091173	-0.045334	0.685136
43823										1.994398	-9.237084	2.312413	-0.003419	0.002372	-0.002508	-0.291665	0.149350	-0.182103	0.721269	0.091121	-0.045357	0.685135
43824										1.994821	-9.220410	2.294107	-0.009271	-0.001013	-0.001852	-0.297888	0.144322	-0.173676	0.721266	0.091041	-0.045408	0.685146
43825										1.994797	-9.237377	2.310899	-0.010412	-0.002264	-0.001962	-0.294842	0.149066	-0.181951	0.721259	0.090964	-0.045458	0.685161
43826										1.988714	-9.202309	2.343367	-0.005700	-0.000130	-0.002728	-0.305595	0.151140	-0.181227	0.721257	0.090899	-0.045499	0.685168
43827										1.998637	-9.238458	2.275124	-0.008131	-0.001803	-0.001015	-0.302855	0.143171	-0.185124	0.721250	0.090827	-0.045537	0.685182
43828										1.974448	-9.257481	2.289873	-0.004413	-0.003793	-0.003101	-0.290437	0.146227	-0.182655	0.721237	0.090770	-0.045579	0.685202
43829										1.999090	-9.255311	2.291968	-0.000839	0.003217	-0.006153	-0.295376	0.145242	-0.178685	0.721245	0.090740	-0.045605	0.685195
43830										1.996439	-9.237619	2.308511	-0.001979	0.001965	-0.006264	-0.293879	0.153105	-0.180953	0.721250	0.090700	-0.045642	0.685192
43831										1.972914	-9.239677	2.305910	-0.004110	0.000676	-0.009143	-0.292647	0.143082	-0.181771	0.721253	0.090670	-0.045693	0.685190
