// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B4A9E6
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
43822										0.697314	-9.302000	3.077011	-0.007406	-0.003552	-0.009400	-0.228625	-0.242777	-0.227918	-0.751275	0.038236	0.071115	-0.655031
43823										0.676696	-9.291724	3.071492	-0.005341	-0.000900	-0.008775	-0.225690	-0.245613	-0.228227	-0.751277	0.038232	0.071179	-0.655023
43824										0.699311	-9.302228	3.075868	-0.005719	-0.005090	-0.012541	-0.232404	-0.250713	-0.220521	-0.751270	0.038215	0.071265	-0.655022
43825										0.693857	-9.282770	3.024911	-0.002448	-0.004271	-0.011989	-0.228862	-0.242009	-0.228351	-0.751265	0.038187	0.071335	-0.655022
43826										0.687670	-9.287344	3.047374	-0.004467	-0.005576	-0.010847	-0.239636	-0.241156	-0.226436	-0.751254	0.038170	0.071412	-0.655028
43827										0.728083	-9.254397	3.066670	0.006748	-0.006150	-0.012567	-0.236900	-0.247457	-0.229623	-0.751245	0.038103	0.071458	-0.655037
43828										0.729238	-9.254160	3.067110	0.003174	0.000697	-0.010580	-0.226635	-0.247340	-0.230225	-0.751249	0.038065	0.071499	-0.655030
43829										0.709192	-9.219596	2.989030	0.000915	-0.000756	-0.007904	-0.227958	-0.250135	-0.223722	-0.751251	0.038041	0.071539	-0.655025
43830										0.699031	-9.282227	3.025388	0.002167	-0.001242	-0.006210	-0.230824	-0.240376	-0.227819	-0.751251	0.038019	0.071571	-0.655022
43831										0.717311	-9.238893	3.039844	0.000915	-0.000756	-0.007904	-0.230027	-0.248415	-0.231927	-0.751253	0.037995	0.071611	-0.655017
