// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B4AF58
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
43822										0.438861	8.434122	4.928808	-0.015881	0.020206	-0.020513	-0.480056	0.310387	-0.025411	0.874781	-0.115309	-0.057127	0.467117
43823										0.412923	8.386413	4.945494	-0.020189	0.014770	-0.016530	-0.476799	0.312004	-0.026683	0.874762	-0.115437	-0.057133	0.467120
43824										0.443706	8.385296	4.957963	-0.017570	0.015014	-0.013669	-0.480351	0.312323	-0.036641	0.874741	-0.115552	-0.057138	0.467130
43825										0.434434	8.408508	4.983125	-0.019787	0.004867	-0.014415	-0.478388	0.310706	-0.028701	0.874742	-0.115663	-0.057168	0.467097
43826										0.440789	8.383435	4.961369	-0.022600	0.003804	-0.010182	-0.486642	0.310923	-0.025708	0.874741	-0.115780	-0.057216	0.467065
43827										0.480032	8.358044	4.950579	-0.023165	0.005872	-0.011490	-0.485132	0.315522	-0.026399	0.874735	-0.115900	-0.057265	0.467040
43828										0.445722	8.357271	4.941597	-0.019971	0.015293	-0.012537	-0.473822	0.313283	-0.027368	0.874712	-0.116024	-0.057279	0.467051
43829										0.469556	8.361738	4.920814	-0.018689	0.019000	-0.010737	-0.472629	0.314308	-0.030885	0.874679	-0.116139	-0.057299	0.467082
43830										0.419007	8.290122	4.903043	-0.018482	0.019672	-0.012288	-0.475090	0.306015	-0.022611	0.874645	-0.116260	-0.057304	0.467114
43831										0.448068	8.312282	4.865915	-0.014334	0.017275	-0.015460	-0.476658	0.316678	-0.029002	0.874622	-0.116364	-0.057297	0.467132
43832										0.420439	8.306245	4.889656	-0.014753	0.015936	-0.012363	-0.478163	0.312315	-0.028377	0.874599	-0.116465	-0.057299	0.467150
43833										0.400153	8.294712	4.946444	-0.008493	0.008677	-0.014715	-0.477422	0.314911	-0.024488	0.874597	-0.116532	-0.057295	0.467138
43834										0.411499	8.287905	4.907425	-0.006531	0.007223	-0.018300	-0.478135	0.307622	-0.028836	0.874602	-0.116600	-0.057267	0.467115
43835										0.415257	8.305322	4.891667	-0.000951	0.005124	-0.015262	-0.485690	0.309399	-0.029287	0.874611	-0.116630	-0.057248	0.467092
43836										0.420753	8.299851	4.924861	0.004481	0.006435	-0.016628	-0.477921	0.312972	-0.032357	0.874622	-0.116646	-0.057202	0.467073
43837										0.380708	8.282898	4.929610	0.007725	0.008688	-0.018411	-0.477300	0.310293	-0.026487	0.874631	-0.116650	-0.057145	0.467064
43838										0.434776	8.330241	4.924739	0.011950	0.010215	-0.021986	-0.477064	0.309823	-0.026340	0.874641	-0.116649	-0.057053	0.467056
43839										0.439030	8.343844	5.013813	0.016324	0.008334	-0.021156	-0.481061	0.315851	-0.024974	0.874656	-0.116621	-0.056964	0.467046
43840										0.452869	8.415847	5.020923	0.019939	0.007692	-0.014531	-0.474754	0.316527	-0.032146	0.874668	-0.116567	-0.056889	0.467046
43841										0.461182	8.470188	5.044359	0.010830	0.014194	-0.019055	-0.485550	0.314186	-0.027574	0.874666	-0.116564	-0.056812	0.467059
43842										0.459815	8.452313	4.986699	0.008717	0.007805	-0.014659	-0.477131	0.310274	-0.029265	0.874673	-0.116559	-0.056762	0.467053
43843										0.453338	8.416657	4.945533	0.001306	0.008103	-0.015260	-0.468690	0.305646	-0.035327	0.874677	-0.116584	-0.056734	0.467044
43844										0.459353	8.392607	4.922159	-0.004691	0.008856	-0.015203	-0.474228	0.308092	-0.028730	0.874677	-0.116639	-0.056712	0.467033
43845										0.434104	8.345499	4.937498	-0.002862	0.010655	-0.017646	-0.476219	0.313970	-0.024151	0.874675	-0.116690	-0.056679	0.467027
43846										0.381337	8.316196	4.925611	0.000810	0.014095	-0.016978	-0.482537	0.314684	-0.032864	0.874667	-0.116731	-0.056628	0.467039
43847										0.401818	8.381836	4.967377	0.004051	0.016352	-0.018761	-0.475373	0.309889	-0.026002	0.874657	-0.116760	-0.056566	0.467058
